moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	6.6	26.6	0	0	0	0.20 	0.00 
50	5.4	26.2	0.4	0	0	1.00 	0.00 
100	6.2	26	8.2	4	4	1.40 	7.20 
200	5.6	25.4	1.2	1	1	2.20 	1.00 
300	4.2	26.8	2.2	2	2	3.60 	1.00 
400	5.4	25.8	5.4	6	5	4.80 	2.00 
500	5.4	25	10	8	8	6.20 	7.00 
600	6.4	24	12.4	12	12	6.80 	9.20 
700	6.2	25.6	14.2	13	13	7.60 	10.00 
800	5.4	24.8	12.2	12	12	9.00 	7.00 
900	7.2	26.8	9	11	11	9.80 	6.00 
1000	5.6	24.6	27.6	22	20	12.00 	20.00 
