moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	25.4	208.6	5	4	3	2.6	4
50	22.8	208.6	6.4	7	7	12.2	3.2
100	32.4	207.4	31.2	27	23	25.2	20.8
200	21.4	206.8	52.6	39	39	50.8	26
300	24.4	208.2	72.4	55	52	74.8	35.6
400	23.2	211.2	93.8	76	70	96.2	45.2
500	32.6	207.6	129.6	109	104	121.8	68.6
600	25.8	208.8	181.2	164	158	151.4	110.4
700	27.8	208.6	182.6	162	158	171.2	94
800	25.2	207.2	171	143	132	193.4	76
900	24.8	208.4	210	180	173	222.8	108.4
1000	28.8	209.2	265.6	239	227	249.4	148.2
