moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	6.8	187.8	0	0	0	0.20 	0
50	6.8	188	0.2	0	0	0.20 	0
100	7.6	186.2	9.6	3	3	1.40 	8.4
200	7.6	187.8	46.8	1	1	2.60 	45.6
300	7	187.2	1.6	0	0	3.20 	0.2
400	7.2	186.6	12	5	4	10.60 	8.8
500	7.4	187.2	28.4	7	5	6.00 	25.2
600	7	187	113.2	12	12	9.20 	111.2
700	6.8	186.8	237.2	10	5	10.40 	231.8
800	7	186.2	178.4	13	10	10.20 	172.2
900	6.2	187	102.6	8	8	11.00 	99.6
1000	7.2	185.8	99.2	16	14	18.20 	92.2
