moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	31.2	1687.6	7	2	2	3.2	5.2
50	31.4	1682.8	19.8	4	3	5	15.4
100	31.2	1681.6	577.4	19	15	14	564.2
200	31.8	1682.6	539.2	31	27	23.8	514.8
300	31.2	1680.2	390.6	37	29	35.2	352.6
400	31.2	1680.2	822.4	53	42	59.8	766.8
500	31.2	1682.2	1209.6	81	62	65.8	1157.8
600	31.2	1678.6	1686.2	125	103	144.8	1626
700	31.2	1681.8	1839	117	92	101.8	1764.6
800	31	1680.8	1850.6	105	80	104	1771.4
900	31	1681.8	2630	146	122	193.2	2537
1000	31.4	1680.6	3677	170	141	154	3545.8
