moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	14.2	116.2	4.4	4	2	2.6	1.2
50	11.8	108.4	15.8	14	11	12.8	4.6
100	13.2	107.6	28.4	23	20	24.2	6.2
200	12.6	110.6	52.4	50	43	48.2	13
300	15	108.8	71.2	71	62	73.2	17.2
400	17.4	107.4	98.6	95	82	97	24.2
500	13.8	107.2	125.4	120	102	124	31.6
600	14.6	106.4	158.4	145	122	143.4	39.8
700	12	107.6	176	174	147	169.8	47.4
800	16.8	106.6	212.8	202	170	193.4	57.8
900	11.6	107.6	240	228	191	219.6	66.4
1000	14	108.4	291.6	244	202	247	72.6
