moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	55.6	4432.2	2.4	0	0	1	0
50	55.4	4450.2	3	4	0	5.2	1.2
100	55.8	4425.6	14.2	12	7	12	7
200	56.6	4433.4	31	22	14	25.8	16.2
300	55.6	4400.2	44	25	18	37.8	26
400	56.6	4425.4	67.2	31	18	53.2	40.2
500	55.6	4430.4	58.8	43	27	56.4	19.2
600	55.6	4414.8	115	65	39	65.6	64.6
700	55	4432	104	73	41	80.4	56.4
800	56.2	4444.4	86	57	36	83	36.6
900	55.4	4419.2	132.2	83	64	108	79.2
1000	55.4	4421.2	132.6	93	59	115.2	56.4
