moves	ConstructKCBP	init-CD	CDtime(AABB)	count(kCBP)	count(real)	CD(kDOPTree)	CDtime(GJK)
10	25.2	1364.6	9.80 	2	1	1.20 	9.80 
50	25	1338.6	3.00 	2	0	4.60 	1.00 
100	25.2	1333.6	18.20 	13	8	10.80 	13.20 
200	25.2	1334.4	31.60 	17	13	20.00 	16.40 
300	24.4	1330.4	34.20 	27	21	32.00 	13.80 
400	26.6	1333.8	57.80 	35	23	42.20 	28.00 
500	25.2	1334	82.20 	46	34	52.40 	45.00 
600	24.8	1331.8	116.20 	67	47	64.40 	69.20 
700	25.2	1331.8	117.60 	69	47	72.40 	62.00 
800	25.4	1362.8	91.00 	50	37	81.00 	37.60 
900	25.6	1343.6	141.20 	74	58	91.60 	76.00 
1000	25	1340.2	148.00 	100	75	104.80 	70.00 
