n(Box)	n	CT(k-CBP)	DT(k-CBP-AABB)	DT(k-CBP-GJK)	 DP(kCBP)	 DP(model)	CT(k-DOP)	DT(k-DOP)	DP(Box)
3	10 	50.80 	0.40 	0.10 	2 	2 	1122.20 	0.20 	2 
8	20 	120.60 	0.40 	0.20 	3 	2 	2961.40 	0.20 	5 
25	30 	324.70 	2.30 	2.00 	29 	27 	9199.80 	2.80 	37 
33	40 	425.00 	2.20 	1.20 	21 	20 	12115.20 	2.20 	26 
40	50 	516.70 	2.80 	2.10 	34 	33 	14681.60 	3.80 	44 
55	60 	687.10 	3.90 	3.50 	56 	53 	20213.40 	4.20 	70 
63	70 	791.20 	5.20 	4.60 	65 	61 	23139.40 	6.00 	90 
78	80 	971.70 	7.40 	7.40 	96 	86 	28652.00 	9.20 	123 
84	90 	1051.10 	7.40 	7.40 	106 	103 	30861.20 	11.40 	144 
93	100 	1161.30 	10.90 	12.70 	183 	170 	34160.40 	16.60 	220 
