n(Box)	n	CT(k-CBP)	DT(k-CBP-AABB)	DT(k-CBP-GJK)	 DP(kCBP)	 DP(model)	CT(k-DOP)	DT(k-DOP)	DP(Box)
3	10 	315.30 	0.30 	0.10 	0 	0 	4670.40 	0.00 	2 
5	20 	529.20 	1.60 	1.70 	2 	2 	7724.80 	0.80 	3 
25	30 	2373.10 	17.30 	16.90 	18 	16 	38568.40 	6.40 	34 
34	40 	3238.90 	21.30 	20.20 	18 	15 	52369.80 	12.80 	26 
44	50 	4167.30 	8.20 	7.40 	29 	21 	67838.60 	21.80 	52 
53	60 	5016.60 	8.60 	7.50 	42 	34 	81652.60 	9.40 	68 
64	70 	6063.50 	62.30 	61.80 	51 	39 	98565.20 	42.40 	100 
76	80 	7152.20 	54.90 	53.90 	68 	57 	117126.20 	27.00 	119 
84	90 	7907.70 	77.10 	76.10 	84 	65 	129308.00 	36.20 	145 
93	100 	8775.50 	99.90 	99.50 	140 	113 	143195.80 	57.80 	237 
