n(Box)	n	CT(k-CBP)	DT(k-CBP-AABB)	DT(k-CBP-GJK)	 DP(kCBP)	 DP(model)	CT(k-DOP)	DT(k-DOP)	DP(Box)
3	10 	33.00 	0.60 	0.20 	2	0	486.60 	0.00 	2 
10	20 	83.80 	1.20 	1.00 	3	2	1603.40 	0.80 	10 
24	30 	177.00 	3.40 	3.00 	31	24	3834.60 	3.00 	42 
38	40 	257.00 	4.80 	2.80 	21	19	6070.40 	2.80 	42 
46	50 	315.40 	6.20 	4.40 	41	35	7358.00 	4.40 	66 
59	60 	391.40 	9.00 	8.40 	58	49	9421.20 	7.00 	121 
68	70 	451.60 	10.20 	9.40 	72	61	10854.40 	8.00 	144 
78	80 	520.80 	12.00 	12.00 	96	85	12406.00 	10.80 	167 
88	90 	590.60 	15.00 	18.20 	113	84	14003.00 	14.20 	261 
97	100 	647.80 	17.80 	23.40 	195	161	15445.00 	22.00 	335 
