n(Box)	n	CT(k-CBP)	DT(k-CBP-AABB)	DT(k-CBP-GJK)	 DP(kCBP)	 DP(model)	CT(k-DOP)	DT(k-DOP)	DP(Box)
3	10 	418.20 	0.2	0.4	0	0	10757.00 	0.20 	2 
4	20 	602.80 	0.80 	0.20 	2	2	14366.80 	0.20 	2 
19	30 	2470.40 	3.00 	1.80 	7	5	68356.60 	1.60 	21 
21	40 	2759.60 	2.80 	0.80 	7	5	75628.60 	3.00 	11 
26	50 	3397.00 	4.20 	1.20 	7	5	93645.40 	7.80 	18 
36	60 	4682.80 	5.80 	1.80 	9	4	129591.60 	6.60 	29 
51	70 	6605.40 	7.00 	2.60 	15	12			
57	80 	7383.40 	9.60 	5.00 	18	8			
63	90 	8129.20 	11.00 	4.60 	17	11			
77	100 	9920.00 	17.00 	9.20 	36	21			
